tabela,coluna,tipo_identificado,linhas,nulos
addresses,id,int,3998,0
addresses,customer_id,int,3998,0
addresses,address_type,object,3998,0
addresses,postal_code,object,3998,0
addresses,street,object,3998,0
addresses,number,int,3998,0
addresses,complement,object,3998,2346
addresses,district,object,3998,0
addresses,city,object,3998,0
addresses,state,object,3998,0
addresses,country,object,3998,0
addresses,is_primary,bool,3998,0
attributes,id,int,8,0
attributes,name,object,8,0
attributes,data_type,object,8,0
brands,id,int,12,0
brands,name,object,12,0
brands,country,object,12,5
brands,is_active,bool,12,0
brands,created_at,timestamp,12,0
brands,updated_at,timestamp,12,0
categories,id,int,14,0
categories,name,object,14,0
categories,slug,object,14,0
categories,parent_category_id,int,14,3
categories,is_active,bool,14,0
categories,created_at,timestamp,14,0
categories,updated_at,timestamp,14,0
customers,id,int,2000,0
customers,person_type,object,2000,0
customers,legal_name,object,2000,0
customers,trade_name,object,2000,1445
customers,tax_id,object,2000,0
customers,state_registration,object,2000,1211
customers,email,object,2000,4
customers,phone,object,2000,4
customers,is_active,bool,2000,0
customers,created_at,timestamp,2000,0
customers,updated_at,timestamp,2000,0
employees,id,int,15,0
employees,full_name,object,15,0
employees,cpf,object,15,0
employees,email,object,15,0
employees,role,object,15,0
employees,primary_location_id,int,15,0
employees,hire_date,date,15,0
employees,termination_date,date,15,13
employees,is_active,bool,15,0
employees,created_at,timestamp,15,0
employees,updated_at,timestamp,15,0
fiscal_invoices,id,int,34365,0
fiscal_invoices,order_id,int,34365,0
fiscal_invoices,nfe_number,object,34365,0
fiscal_invoices,nfe_access_key,object,34365,0
fiscal_invoices,series,int,34365,0
fiscal_invoices,issued_at,timestamp,34365,0
fiscal_invoices,status,object,34365,0
fiscal_invoices,total_amount,float,34365,0
fiscal_invoices,xml_storage_uri,object,34365,0
fiscal_invoices,created_at,timestamp,34365,0
fiscal_invoices,updated_at,timestamp,34365,0
goods_receipt_items,id,int,4733,0
goods_receipt_items,goods_receipt_id,int,4733,0
goods_receipt_items,purchase_order_item_id,int,4733,0
goods_receipt_items,quantity_received,float,4733,0
goods_receipts,id,int,1548,0
goods_receipts,purchase_order_id,int,1548,0
goods_receipts,received_by_employee_id,int,1548,0
goods_receipts,received_at,timestamp,1548,0
goods_receipts,notes,object,1548,1471
goods_receipts,created_at,timestamp,1548,0
locations,id,int,6,0
locations,name,object,6,0
locations,location_type,object,6,0
locations,postal_code,object,6,0
locations,street,object,6,0
locations,number,int,6,0
locations,complement,object,6,3
locations,district,object,6,0
locations,city,object,6,0
locations,state,object,6,0
locations,country,object,6,0
locations,is_active,bool,6,0
locations,created_at,timestamp,6,0
locations,updated_at,timestamp,6,0
order_items,id,int,147320,0
order_items,order_id,int,147320,0
order_items,product_variant_id,int,147320,0
order_items,quantity,int,147320,0
order_items,unit_price,float,147320,0
order_items,icms_rate,int,147320,0
order_items,ipi_rate,int,147320,0
order_items,line_total,float,147320,0
orders,id,int,48998,0
orders,order_number,object,48998,0
orders,channel,object,48998,0
orders,customer_id,int,48998,0
orders,salesperson_id,int,48998,24131
orders,location_id,int,48998,0
orders,status,object,48998,0
orders,subtotal,float,48998,0
orders,discount_amount,float,48998,0
orders,total,float,48998,0
orders,placed_at,timestamp,48998,0
orders,created_at,timestamp,48998,0
orders,updated_at,timestamp,48998,0
payments,id,int,53546,0
payments,order_id,int,53546,0
payments,method,object,53546,0
payments,installments,int,53546,0
payments,amount,float,53546,0
payments,status,object,53546,0
payments,paid_at,timestamp,53546,12327
payments,created_at,timestamp,53546,0
payments,updated_at,timestamp,53546,0
product_suppliers,product_variant_id,int,1520,0
product_suppliers,supplier_id,int,1520,0
product_suppliers,supplier_sku,object,1520,28
product_suppliers,last_quoted_cost,float,1520,0
product_suppliers,lead_time_days,int,1520,0
product_suppliers,is_preferred,bool,1520,0
product_suppliers,created_at,timestamp,1520,0
product_suppliers,updated_at,timestamp,1520,0
product_variants,id,int,1009,0
product_variants,product_id,int,1009,0
product_variants,sku,object,1009,0
product_variants,barcode_ean,object,1009,157
product_variants,sale_price,float,1009,0
product_variants,cost_price,float,1009,0
product_variants,weight_kg,float,1009,0
product_variants,icms_rate,int,1009,0
product_variants,ipi_rate,int,1009,0
product_variants,is_active,bool,1009,0
product_variants,created_at,timestamp,1009,0
product_variants,updated_at,timestamp,1009,0
products,id,int,500,0
products,name,object,500,0
products,description,object,500,10
products,brand_id,int,500,0
products,category_id,int,500,0
products,ncm_code,object,500,0
products,unit_of_measure,object,500,0
products,is_active,bool,500,0
products,created_at,timestamp,500,0
products,updated_at,timestamp,500,0
purchase_order_items,id,int,6059,0
purchase_order_items,purchase_order_id,int,6059,0
purchase_order_items,product_variant_id,int,6059,0
purchase_order_items,quantity_ordered,int,6059,0
purchase_order_items,unit_cost,float,6059,0
purchase_order_items,line_total,float,6059,0
purchase_orders,id,int,2000,0
purchase_orders,po_number,object,2000,0
purchase_orders,supplier_id,int,2000,0
purchase_orders,buyer_id,int,2000,0
purchase_orders,destination_location_id,int,2000,0
purchase_orders,status,object,2000,0
purchase_orders,currency,object,2000,0
purchase_orders,subtotal,float,2000,0
purchase_orders,total,float,2000,0
purchase_orders,placed_at,timestamp,2000,0
purchase_orders,expected_delivery_at,timestamp,2000,287
purchase_orders,created_at,timestamp,2000,0
purchase_orders,updated_at,timestamp,2000,0
return_items,id,int,1384,0
return_items,return_id,int,1384,0
return_items,order_item_id,int,1384,0
return_items,quantity,int,1384,0
return_items,action,object,1384,0
return_items,exchange_variant_id,int,1384,1024
return_items,unit_refund_amount,float,1384,0
returns,id,int,980,0
returns,return_number,object,980,0
returns,order_id,int,980,0
returns,customer_id,int,980,0
returns,received_at_location_id,int,980,0
returns,status,object,980,0
returns,reason,object,980,7
returns,total_refund_amount,float,980,0
returns,created_at,timestamp,980,0
returns,updated_at,timestamp,980,0
stock_levels,product_variant_id,int,6054,0
stock_levels,location_id,int,6054,0
stock_levels,quantity_on_hand,float,6054,0
stock_levels,reorder_point,int,6054,6054
stock_levels,updated_at,timestamp,6054,0
stock_movements,id,int,115312,0
stock_movements,product_variant_id,int,115312,0
stock_movements,location_id,int,115312,0
stock_movements,movement_type,object,115312,0
stock_movements,quantity,float,115312,0
stock_movements,reference_table,object,115312,5894
stock_movements,reference_id,int,115312,5894
stock_movements,employee_id,int,115312,58057
stock_movements,notes,object,115312,103907
stock_movements,occurred_at,timestamp,115312,0
stock_movements,created_at,timestamp,115312,0
suppliers,id,int,25,0
suppliers,legal_name,object,25,0
suppliers,trade_name,object,25,12
suppliers,country,object,25,0
suppliers,tax_id,object,25,0
suppliers,tax_id_type,object,25,0
suppliers,email,object,25,0
suppliers,phone,object,25,0
suppliers,contact_name,object,25,0
suppliers,is_active,bool,25,0
suppliers,created_at,timestamp,25,0
suppliers,updated_at,timestamp,25,0
variant_attribute_values,product_variant_id,int,2018,0
variant_attribute_values,attribute_id,int,2018,0
variant_attribute_values,value,object,2018,0
